,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
63,Mad Men,/title/tt0804503/?ref_=ttls_li_tt,64,(2007–2015),MA,47  ,Drama,8.7,"['Jon Hamm', 'Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",246518,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
64,The Flintstones,/title/tt0053502/?ref_=ttls_li_tt,65,(1960–1966),G,26  ,"Animation, Adventure, Comedy",7.5,"['Alan Reed', 'Mel Blanc', 'Jean Vander Pyl', 'Bea Benaderet']",38657,"The misadventures of two modern-day Stone Age families, the Flintstones and the Rubbles."
65,American Horror Story,/title/tt1844624/?ref_=ttls_li_tt,66,(2011– ),MA,60  ,"Drama, Horror, Sci-Fi",8,"['Lady Gaga', 'Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",326623,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC."
66,Baywatch,/title/tt0096542/?ref_=ttls_li_tt,67,(1989–2001),PG,60  ,"Action, Adventure, Crime",5.4,"['David Hasselhoff', 'Pamela Anderson', 'Yasmine Bleeth', 'Jeremy Jackson']",28853,"At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis."
67,The Outsider,/title/tt8550800/?ref_=ttls_li_tt,68,(2020),MA,60  ,"Crime, Drama, Horror",7.7,"['Ben Mendelsohn', 'Bill Camp', 'Jeremy Bobb', 'Mare Winningham']",88064,Investigators are confounded over an unspeakable crime that has been committed.
68,Heroes,/title/tt0813715/?ref_=ttls_li_tt,69,(II) (2006–2010),14,45  ,"Drama, Fantasy, Sci-Fi",7.5,"['Jack Coleman', 'Hayden Panettiere', 'Milo Ventimiglia', 'Masi Oka']",245598,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.
69,The Following,/title/tt2071645/?ref_=ttls_li_tt,70,(2013–2015),14,43  ,"Crime, Drama, Horror",7.4,"['Kevin Bacon', 'James Purefoy', 'Shawn Ashmore', 'Valorie Curry']",89682,"A brilliant, charismatic, and psychotic serial killer communicates with other active serial killers and activates a cult of believers who follow his every command."
70,Futurama,/title/tt0149460/?ref_=ttls_li_tt,71,(1999–2023),14,22  ,"Animation, Adventure, Comedy",8.5,"['Billy West', 'John DiMaggio', 'Katey Sagal', 'Tress MacNeille']",245162,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
71,Fleabag,/title/tt5687612/?ref_=ttls_li_tt,72,(2016–2019),MA,27  ,"Comedy, Drama",8.7,"['Phoebe Waller-Bridge', 'Sian Clifford', 'Olivia Colman', 'Jenny Rainsford']",172034,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
72,Penny Dreadful,/title/tt2628232/?ref_=ttls_li_tt,73,(2014–2016),MA,60  ,"Drama, Fantasy, Horror",8.2,"['Josh Hartnett', 'Timothy Dalton', 'Eva Green', 'Reeve Carney']",125785,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London."
73,Agents of S.H.I.E.L.D.,/title/tt2364582/?ref_=ttls_li_tt,74,(2013–2020),PG,45  ,"Action, Adventure, Drama",7.5,"['Clark Gregg', 'Ming-Na Wen', 'Brett Dalton', 'Iain De Caestecker']",220332,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
74,Spartacus,/title/tt1442449/?ref_=ttls_li_tt,75,(2010–2013),MA,55  ,"Action, Adventure, Biography",8.5,"['Andy Whitfield', 'Lucy Lawless', 'Manu Bennett', 'Daniel Feuerriegel']",247204,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
75,Supernatural,/title/tt0460681/?ref_=ttls_li_tt,76,(2005–2020),14,44  ,"Drama, Fantasy, Horror",8.4,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']",457750,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
76,How I Met Your Mother,/title/tt0460649/?ref_=ttls_li_tt,77,(2005–2014),14,22  ,"Comedy, Drama, Romance",8.3,"['Josh Radnor', 'Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']",699439,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
77,The Strain,/title/tt2654620/?ref_=ttls_li_tt,78,(2014–2017),MA,43  ,"Drama, Fantasy, Horror",7.3,"['Corey Stoll', 'David Bradley', 'Kevin Durand', 'Jonathan Hyde']",83468,A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.
78,"Beverly Hills, 90210",/title/tt0098749/?ref_=ttls_li_tt,79,(1990–2000),PG,44  ,"Drama, Romance",6.5,"['Jason Priestley', 'Shannen Doherty', 'Luke Perry', 'Jennie Garth']",35706,"A group of friends living in Beverly Hills, California make their way through life from their school days into adulthood."
79,Gotham,/title/tt3749900/?ref_=ttls_li_tt,80,(2014–2019),14,42  ,"Action, Crime, Drama",7.8,"['Ben McKenzie', 'Jada Pinkett Smith', 'Donal Logue', 'Camren Bicondova']",234498,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
80,Altered Carbon,/title/tt2261227/?ref_=ttls_li_tt,81,(2018–2020),MA,60  ,"Action, Drama, Sci-Fi",7.9,"['Chris Conner', 'Renée Elise Goldsberry', 'Dichen Lachman', 'Will Yun Lee']",177541,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom."
81,Money Heist,/title/tt6468322/?ref_=ttls_li_tt,82,(2017–2021),MA,70  ,"Action, Crime, Drama",8.2,"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",494286,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
82,MacGyver,/title/tt0088559/?ref_=ttls_li_tt,83,(1985–1992),PG,48  ,"Action, Adventure, Crime",7.6,"['Richard Dean Anderson', 'Dana Elcar', 'Bruce McGill', 'Robin Mossley']",40251,The adventures of a secret Agent armed with almost infinite scientific resourcefulness.
