,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
21,Homeland,/title/tt1796960/?ref_=ttls_li_tt,22,(2011–2020),MA,55  ,"Crime, Drama, Mystery",8.3,"['Claire Danes', 'Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",348800,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
22,Band of Brothers,/title/tt0185906/?ref_=ttls_li_tt,23,(2001),MA,594  ,"Drama, History, War",9.4,"['Scott Grimes', 'Damian Lewis', 'Ron Livingston', 'Shane Taylor']",482512,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
23,Vikings,/title/tt2306299/?ref_=ttls_li_tt,24,(2013–2020),MA,44  ,"Action, Adventure, Drama",8.5,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",549942,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean."
24,The Boys,/title/tt1190634/?ref_=ttls_li_tt,25,(2019– ),MA,60  ,"Action, Comedy, Crime",8.7,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']",548378,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
25,The Good Place,/title/tt4955642/?ref_=ttls_li_tt,26,(2016–2020),PG,22  ,"Comedy, Drama, Fantasy",8.2,"['Kristen Bell', 'William Jackson Harper', 'Jameela Jamil', ""D'Arcy Carden""]",170696,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
26,24,/title/tt0285331/?ref_=ttls_li_tt,27,(2001–2010),14,44  ,"Action, Crime, Drama",8.4,"['Kiefer Sutherland', 'Mary Lynn Rajskub', 'Carlos Bernard', 'Dennis Haysbert']",190868,Counter Terrorism Agent Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
27,Two and a Half Men,/title/tt0369179/?ref_=ttls_li_tt,28,(2003–2015),14,22  ,"Comedy, Romance",7.1,"['Jon Cryer', 'Ashton Kutcher', 'Angus T. Jones', 'Conchata Ferrell']",270080,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.
28,X-Men: The Animated Series,/title/tt0103584/?ref_=ttls_li_tt,29,(1992–1997),Y7,23  ,"Animation, Action, Adventure",8.4,"['Cedric Smith', 'Cal Dodd', 'Lenore Zann', 'George Buza']",44904,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
29,Legion,/title/tt5114356/?ref_=ttls_li_tt,30,(2017–2019),MA,60  ,"Action, Drama, Sci-Fi",8.2,"['Dan Stevens', 'Rachel Keller', 'Aubrey Plaza', 'Bill Irwin']",93346,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter he discovers special powers that will change his life forever."
30,American Crime Story,/title/tt2788432/?ref_=ttls_li_tt,31,(2016– ),MA,42  ,"Biography, Crime, Drama",8.4,"['Sarah Paulson', 'Annaleigh Ashford', 'Sterling K. Brown', 'Kenneth Choi']",96719,An anthology series centered around America's most notorious crimes and criminals.
31,Dexter,/title/tt0773262/?ref_=ttls_li_tt,32,(2006–2013),MA,53  ,"Crime, Drama, Mystery",8.7,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar']",737407,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them."
32,The Walking Dead,/title/tt1520211/?ref_=ttls_li_tt,33,(2010–2022),MA,44  ,"Drama, Horror, Thriller",8.1,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']",1024796,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
33,Ted Lasso,/title/tt10986410/?ref_=ttls_li_tt,34,(2020– ),MA,30  ,"Comedy, Drama, Sport",8.8,"['Jason Sudeikis', 'Brett Goldstein', 'Hannah Waddingham', 'Brendan Hunt']",255939,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
34,The Handmaid's Tale,/title/tt5834204/?ref_=ttls_li_tt,35,(2017– ),MA,60  ,"Drama, Sci-Fi, Thriller",8.4,"['Elisabeth Moss', 'Yvonne Strahovski', 'Ann Dowd', 'O-T Fagbenle']",246260,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
35,True Detective,/title/tt2356777/?ref_=ttls_li_tt,36,(2014– ),MA,55  ,"Crime, Drama, Mystery",8.9,"['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",592363,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
36,Brooklyn Nine-Nine,/title/tt2467372/?ref_=ttls_li_tt,37,(2013–2021),14,22  ,"Comedy, Crime",8.4,"['Andy Samberg', 'Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero']",331246,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
37,Bob's Burgers,/title/tt1561755/?ref_=ttls_li_tt,38,(2011– ),14,22  ,"Animation, Comedy",8.2,"['H. Jon Benjamin', 'Dan Mintz', 'Eugene Mirman', 'John Roberts']",85448,Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.
38,The Umbrella Academy,/title/tt1312171/?ref_=ttls_li_tt,39,(2019–2023),14,60  ,"Action, Adventure, Comedy",7.9,"['Elliot Page', 'Aidan Gallagher', 'Tom Hopper', 'David Castañeda']",257283,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
39,Mr. Robot,/title/tt4158110/?ref_=ttls_li_tt,40,(2015–2019),MA,49  ,"Crime, Drama, Thriller",8.5,"['Rami Malek', 'Christian Slater', 'Carly Chaikin', 'Martin Wallström']",397608,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
40,Boardwalk Empire,/title/tt0979432/?ref_=ttls_li_tt,41,(2010–2014),MA,55  ,"Crime, Drama",8.6,"['Steve Buscemi', 'Kelly Macdonald', 'Michael Shannon', 'Shea Whigham']",194473,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
41,Star Trek: The Next Generation,/title/tt0092455/?ref_=ttls_li_tt,42,(1987–1994),PG,44  ,"Action, Adventure, Sci-Fi",8.7,"['Patrick Stewart', 'Brent Spiner', 'Jonathan Frakes', 'LeVar Burton']",126837,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
42,"Scooby Doo, Where Are You!",/title/tt0063950/?ref_=ttls_li_tt,43,(1969–1970),G,22  ,"Animation, Adventure, Comedy",7.9,"['Don Messick', 'Casey Kasem', 'Nicole Jaffe', 'Vic Perrin']",38070,"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
43,Daredevil,/title/tt3322312/?ref_=ttls_li_tt,44,(2015–2018),MA,54  ,"Action, Crime, Drama",8.6,"['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",451993,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
