,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
0,/title/tt0275137/?ref_=ttls_li_tt,Justice League,201,(2001–2004),PG,22  ,"Animation, Action, Adventure",8.6,"['Carl Lumbly', 'Phil LaMarr', 'Michael Rosenbaum', 'George Newbern']",48334,Seven of the most formidable heroes form arguably the most powerful team ever.
1,/title/tt0934814/?ref_=ttls_li_tt,Chuck,202,(2007–2012),14,43  ,"Action, Comedy, Drama",8.2,"['Zachary Levi', 'Yvonne Strahovski', 'Joshua Gomez', 'Vik Sahay']",141911,"When a computer geek inadvertently downloads critical government secrets into his brain, both the CIA and the NSA assign an agent to protect him and exploit his newfound skills."
2,/title/tt1196946/?ref_=ttls_li_tt,The Mentalist,203,(2008–2015),14,43  ,"Crime, Drama, Mystery",8.1,"['Simon Baker', 'Robin Tunney', 'Tim Kang', 'Owain Yeoman']",190535,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter."
3,/title/tt0094525/?ref_=ttls_li_tt,Poirot,204,(1989–2013),14,100  ,"Crime, Drama, Mystery",8.6,"['David Suchet', 'Hugh Fraser', 'Philip Jackson', 'Pauline Moran']",47941,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot."
4,/title/tt2699128/?ref_=ttls_li_tt,The Leftovers,205,(2014–2017),MA,60  ,"Drama, Fantasy, Mystery",8.3,"['Justin Theroux', 'Amy Brenneman', 'Christopher Eccleston', 'Liv Tyler']",103782,"Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event."
5,/title/tt1442462/?ref_=ttls_li_tt,The Good Wife,206,(2009–2016),14,43  ,"Crime, Drama, Mystery",8.4,"['Julianna Margulies', 'Chris Noth', 'Josh Charles', 'Matt Czuchry']",78573,"Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm."
6,/title/tt0262150/?ref_=ttls_li_tt,Black Books,207,(2000–2004),PG,25  ,Comedy,8.5,"['Dylan Moran', 'Bill Bailey', 'Tamsin Greig', 'Paul Beech']",60271,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue."
7,/title/tt0290988/?ref_=ttls_li_tt,Trailer Park Boys,208,(2001–2018),MA,30  ,"Comedy, Crime",8.6,"['John Paul Tremblay', 'Robb Wells', 'Mike Smith', 'John Dunsworth']",46597,Three petty felons have a documentary made about their life in a trailer park.
8,/title/tt0165598/?ref_=ttls_li_tt,That '70s Show,209,(1998–2006),14,22  ,"Comedy, Drama, Romance",8.1,"['Topher Grace', 'Laura Prepon', 'Mila Kunis', 'Danny Masterson']",182532,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin."
9,/title/tt0237123/?ref_=ttls_li_tt,Coupling,210,(2000–2004),14,30  ,"Comedy, Romance",8.6,"['Jack Davenport', 'Gina Bellman', 'Sarah Alexander', 'Kate Isitt']",46460,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.
