,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
0,/title/tt0903747/?ref_=ttls_li_tt,Breaking Bad,1,(2008–2013),MA,49  ,"Crime, Drama, Thriller",9.5,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",1969786,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
1,/title/tt0944947/?ref_=ttls_li_tt,Game of Thrones,2,(2011–2019),MA,57  ,"Action, Adventure, Drama",9.2,"['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']",2157720,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
2,/title/tt7366338/?ref_=ttls_li_tt,Chernobyl,3,(2019),MA,330  ,"Drama, History, Thriller",9.4,"['Jessie Buckley', 'Jared Harris', 'Stellan Skarsgård', 'Adam Nagaitis']",794031,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
3,/title/tt0185906/?ref_=ttls_li_tt,Band of Brothers,4,(2001),MA,594  ,"Drama, History, War",9.4,"['Scott Grimes', 'Damian Lewis', 'Ron Livingston', 'Shane Taylor']",482652,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
4,/title/tt1475582/?ref_=ttls_li_tt,Sherlock,5,(2010–2017),14,88  ,"Crime, Drama, Mystery",9.1,"['Benedict Cumberbatch', 'Martin Freeman', 'Una Stubbs', 'Rupert Graves']",948481,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.
5,/title/tt0306414/?ref_=ttls_li_tt,The Wire,6,(2002–2008),MA,59  ,"Crime, Drama, Thriller",9.3,"['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",351597,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
6,/title/tt0417299/?ref_=ttls_li_tt,Avatar: The Last Airbender,7,(2005–2008),Y7-FV,23  ,"Animation, Action, Adventure",9.3,"['Dee Bradley Baker', 'Zach Tyler Eisen', 'Mae Whitman', 'Jack De Sena']",329959,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
7,/title/tt0108778/?ref_=ttls_li_tt,Friends,8,(1994–2004),14,22  ,"Comedy, Romance",8.9,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",1023769,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
8,/title/tt0141842/?ref_=ttls_li_tt,The Sopranos,9,(1999–2007),MA,55  ,"Crime, Drama",9.2,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",421341,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
9,/title/tt2861424/?ref_=ttls_li_tt,Rick and Morty,10,(2013– ),14,23  ,"Animation, Adventure, Comedy",9.1,"['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",549438,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
