,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
73,F Is for Family,/title/tt4326894/?ref_=ttls_li_tt,74,(2015–2021),MA,30 ,"Animation, Comedy, Drama",8,"['Bill Burr', 'Laura Dern', 'Justin Long', 'Debi Derryberry']",39163,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV."
74,Lilyhammer,/title/tt1958961/?ref_=ttls_li_tt,75,(2012–2014),MA,45 ,"Comedy, Crime, Drama",7.9,"['Steven Van Zandt', 'Trond Fausa', 'Steinar Sagen', 'Marian Saastad Ottesen']",30928,A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.
75,Rise of Empires: Ottoman,/title/tt9244578/?ref_=ttls_li_tt,76,(2020–2022),MA,44 ,"Documentary, Drama, History",7.9,"['Cem Yigit Uzümoglu', 'Tuba Büyüküstün', 'Alp Ilkman', 'Ushan Çakir']",28149,Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.
76,On My Block,/title/tt7879820/?ref_=ttls_li_tt,77,(2018–2021),14,30 ,"Comedy, Drama",7.9,"['Sierra Capri', 'Jason Genao', 'Brett Gray', 'Diego Tinoco']",17970,"A coming-of-age story about four bright, street-savvy friends navigating their way through high school in gritty South Central Los Angeles, trying to get their friend out of a gang, and having friendship turn into something more."
77,DreamWorks Dragons,/title/tt2325846/?ref_=ttls_li_tt,78,(2012–2014),Y7,22 ,"Animation, Action, Adventure",7.9,"['Jay Baruchel', 'Christopher Mintz-Plasse', 'T.J. Miller', 'America Ferrera']",12293,The further adventures of Hiccup and his friends on the Island of Berk.
78,Jessica Jones,/title/tt2357547/?ref_=ttls_li_tt,79,(2015–2019),MA,56 ,"Action, Crime, Drama",7.9,"['Krysten Ritter', 'Rachael Taylor', 'Eka Darville', 'Carrie-Anne Moss']",219044,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
79,The OA,/title/tt4635282/?ref_=ttls_li_tt,80,(2016–2019),MA,60 ,"Drama, Fantasy, Mystery",7.8,"['Brit Marling', 'Jason Isaacs', 'Scott Wilson', 'Alice Krige']",108202,"Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous."
80,Russian Doll,/title/tt7520794/?ref_=ttls_li_tt,81,(2019– ),MA,30 ,"Comedy, Drama, Mystery",7.8,"['Natasha Lyonne', 'Charlie Barnett', 'Greta Lee', 'Elizabeth Ashley']",100208,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
81,Bloodline,/title/tt3520702/?ref_=ttls_li_tt,82,(2015–2017),MA,60 ,"Drama, Thriller",7.9,"['Kyle Chandler', 'Ben Mendelsohn', 'Linda Cardellini', 'Sissy Spacek']",55160,A family is forced to face their past secrets and scars when the black sheep returns home.
82,The Spy,/title/tt5952634/?ref_=ttls_li_tt,83,(2019),MA,53 ,"Drama, History",7.9,"['Sacha Baron Cohen', 'Noah Emmerich', 'Hadar Ratzon Rotem', 'Nassim Lyes']",45035,Based on the life of Israeli spy Eli Cohen.
83,Shadow and Bone,/title/tt2403776/?ref_=ttls_li_tt,84,(2021– ),14,60 ,"Action, Adventure, Drama",7.6,"['Jessie Mei Li', 'Ben Barnes', 'Archie Renaux', 'Freddy Carter']",104121,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
84,Never Have I Ever,/title/tt10062292/?ref_=ttls_li_tt,85,(2020–2023),14,30 ,"Comedy, Drama",7.8,"['Maitreyi Ramakrishnan', 'Poorna Jagannathan', 'Darren Barnet', 'John McEnroe']",63365,"The complicated life of a first-generation Indian-American teenage girl, inspired by Mindy Kaling's own childhood."
85,How to Sell Drugs Online (Fast),/title/tt9184994/?ref_=ttls_li_tt,86,(2019– ),MA,30 ,"Comedy, Crime, Drama",7.8,"['Maximilian Mundt', 'Danilo Kamperidis', 'Lena Klenke', 'Damian Hardung']",35982,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom."
86,The Staircase,/title/tt0388644/?ref_=ttls_li_tt,87,(2004–2018),MA,629 ,"Documentary, Crime, Drama",7.8,"['Michael Peterson', 'David Rudolf', 'Ron Guerette', 'Martha Ratliff']",25733,The high-profile murder trial of American novelist Michael Peterson following the death of his wife in 2001.
87,Suburra: Blood on Rome,/title/tt7197684/?ref_=ttls_li_tt,88,(2017–2020),MA,50 ,"Action, Crime",7.9,"['Alessandro Borghi', 'Giacomo Ferrara', 'Filippo Nigro', 'Carlotta Antonelli']",15363,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican."
